Year,Name,Sport,Event,Medal,Time/score,Host city,Host country,Season,Type,Note
2016,Virginia Thrasher,Shooting,Women's 10m Air Rifle,Gold,208,Rio,Brazil,summer,individual,
2016,Brady Ellison,Archery,Men,Silver,36678,Rio,Brazil,summer,team,
2016,Jake Kaminski,Archery,Men,Silver,36678,Rio,Brazil,summer,team,
2016,Zach Garrett,Archery,Men,Silver,36678,Rio,Brazil,summer,team,
2016,Chase Kalisz,Swimming,400m Individual Medley Men,Silver,0.002871759,Rio,Brazil,summer,individual,
2016,Simone Manuel,Swimming,4x100m Freestyle Relay Women,Silver,0.14755787,Rio,Brazil,summer,team,
2016,Abbey Weitzeil,Swimming,4x100m Freestyle Relay Women,Silver,0.002452431,Rio,Brazil,summer,team,
2016,Dana Vollmer,Swimming,4x100m Freestyle Relay Women,Silver,0.002452431,Rio,Brazil,summer,team,
2016,Katie Ledecky,Swimming,4x100m Freestyle Relay Women,Silver,0.002452431,Rio,Brazil,summer,team,
2016,Maya DiRado,Swimming,400m Individual Medley Women,Silver,0.00313831,Rio,Brazil,summer,individual,
2016,Alexander Massialas,Fencing,"Foil, Men",Silver,15-11,Rio,Brazil,summer,individual,
2016,Corey Cogdell-Unrein,Shooting,Trap Shooting Women,Bronze,,Rio,Brazil,summer,individual,
2016,Dana Vollmer,Swimming,100m Butterfly Women,Bronze,56.63,Rio,Brazil,summer,individual,
2016,Cody Miller,Swimming,100m Breaststroke Men,Bronze,58.87,Rio,Brazil,summer,individual,
2016,Katie Ledecky,Swimming,400m Freestyle Women,Gold,0.002736806,Rio,Brazil,summer,individual,World record
2016,Leah Smith,Swimming,400m Freestyle Women,Bronze,0.0028,Rio,Brazil,summer,individual,
2016,Conor Dwyer,Swimming,200m Freestyle Men,Bronze,0.00121794,Rio,Brazil,summer,individual,
2016,Michael Phelps,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Caeleb Dressel,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Ryan Held,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Nathan Adrian,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,David Boudia,Diving,Synchronized 10M Platform Men,Silver,457.11,Rio,Brazil,summer,team,
2016,Steele Johnson,Diving,Synchronized 10M Platform Men,Silver,457.11,Rio,Brazil,summer,team,
2016,Kathleen Baker,Swimming,100m Backstroke Women,Silver,58.75,Rio,Brazil,summer,individual,
2016,Ryan Murphy,Swimming,100m Backstroke Men,Gold,51.97,Rio,Brazil,summer,individual,Olympic record
2016,David Plummer,Swimming,100m Backstroke Men,Bronze,52.4,Rio,Brazil,summer,individual,
2016,Lilly King,Swimming,100m Breaststroke Women,Gold,0.000748032,Rio,Brazil,summer,individual,Olympic record
2016,Katie Meili,Swimming,100m Breaststroke Women,Bronze,0.000760185,Rio,Brazil,summer,individual,
2016,Simone Biles,Gymnastics,Team Competition Women,Gold,184.897,Rio,Brazil,summer,team,
2016,Gabby Douglas,Gymnastics,Team Competition Women,Gold,184.897,Rio,Brazil,summer,team,
2016,Aly Raisman,Gymnastics,Team Competition Women,Gold,184.897,Rio,Brazil,summer,team,
2016,Laurie Hernandez,Gymnastics,Team Competition Women,Gold,184.897,Rio,Brazil,summer,team,
2016,Madison Kocian,Gymnastics,Team Competition Women,Gold,184.897,Rio,Brazil,summer,team,
2016,Katie Ledecky,Swimming,200m Freestyle Women,Gold,0.001316319,Rio,Brazil,summer,individual,
2016,Michael Phelps,Swimming,200m Butterfly Men,Gold,0.001312037,Rio,Brazil,summer,individual,
2016,Maya DiRado,Swimming,200m Individual Medley Women,Bronze,0.001490625,Rio,Brazil,summer,individual,
2016,Conor Dwyer,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Townley Haas,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Ryan Lochte,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Michael Phelps,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Phillip Dutton,Equestrian,Individual Eventing,Bronze,51.8,Rio,Brazil,summer,individual,
2016,Travis Stevens,Judo,81kg Men,Silver,0-100,Rio,Brazil,summer,individual,
2016,Clark Smith,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Jack Conger,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Gunnar Bentz,Swimming,4x200m Freestyle Relay Men,Gold,0.00486875,Rio,Brazil,summer,team,
2016,Jimmy Feigen,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Blake Pieroni,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Anthony Ervin,Swimming,4x100m Freestyle Relay Men,Gold,0.002198148,Rio,Brazil,summer,team,
2016,Amanda Weir,Swimming,4x100m Freestyle Relay Women,Silver,0.14755787,Rio,Brazil,summer,team,
2016,Lia Neal,Swimming,4x100m Freestyle Relay Women,Silver,0.14755787,Rio,Brazil,summer,team,
2016,Allison Schmitt,Swimming,4x100m Freestyle Relay Women,Silver,0.14755787,Rio,Brazil,summer,team,
2016,Kristin Armstrong,Cycling,Road Time Trial Women,Gold,0.030861343,Rio,Brazil,summer,individual,
2016,Sam Dorman,Diving,Synchronized 3M Springboard Men,Silver,450.21,Rio,Brazil,summer,team,
2016,Mike Hixon,Diving,Synchronized 3M Springboard Men,Silver,450.21,Rio,Brazil,summer,team,
2016,Daryl Homer,Fencing,"Sabre, Men",Silver,15-8,Rio,Brazil,summer,individual,
2016,Josh Prenot,Swimming,200m Breaststroke Men,Silver,0.001476042,Rio,Brazil,summer,individual,
2016,Nathan Adrian,Swimming,100m Freestyle Men,Bronze,47.85,Rio,Brazil,summer,individual,
2016,Katie Ledecky,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Allison Schmitt,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Leah Smith,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Maya DiRado,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Missy Franklin,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Melanie Margalis,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Cierra Runge,Swimming,4x200m Freestyle Relay Women,Gold,0.005359144,Rio,Brazil,summer,team,
2016,Kayla Harrison,Judo,Half Heavyweight (78kg) Women,Gold,100-0s2,Rio,Brazil,summer,individual,
2016,Simone Biles,Gymnastics,"All-Around, Women",Gold,62.198,Rio,Brazil,summer,individual,
2016,Aly Raisman,Gymnastics,"All-Around, Women",Silver,60.098,Rio,Brazil,summer,individual,
2016,Ryan Murphy,Swimming,200m Backstroke Men,Gold,0.001315046,Rio,Brazil,summer,individual,
2016,Michael Phelps,Swimming,200m Individual Medley Men,Gold,0.001327083,Rio,Brazil,summer,individual,
2016,Simone Manuel,Swimming,100m Freestyle Women,Gold,52.7,Rio,Brazil,summer,individual,Tied with Canada's Penny Oleksiak in Olympic record time.
2016,Nico Miguel Hernandez,Boxing,Light flyweight,Bronze,,Rio,Brazil,summer,individual,
2016,Brady Ellison,Archery,Men's Individual,Bronze,42523,Rio,Brazil,summer,individual,
2016,Steffen Peters,Equestrian,Team dressage,Bronze,76.667,Rio,Brazil,summer,team,
2016,Laura Graves,Equestrian,Team dressage,Bronze,76.667,Rio,Brazil,summer,team,
2016,Kasey Perry-Glass,Equestrian,Team dressage,Bronze,76.667,Rio,Brazil,summer,team,
2016,Allison Brock,Equestrian,Team dressage,Bronze,76.667,Rio,Brazil,summer,team,
2016,Kim Rhode,Shooting,Women's skeet,Bronze,,Rio,Brazil,summer,individual,
2016,Michelle Carter,Track & Field,Shot Put Women,Gold,20.63,Rio,Brazil,summer,individual,
2016,Anthony Ervin,Swimming,50m Freestyle Men,Gold,21.4,Rio,Brazil,summer,individual,
2016,Katie Ledecky,Swimming,800m Freestyle Women's,Gold,0.005610995,Rio,Brazil,summer,individual,World Record
2016,Maya DiRado,Swimming,200m Backstroke Women,Gold,0.001458218,Rio,Brazil,summer,individual,
2016,Michael Phelps,Swimming,100m Butterfly Men,Silver,51.14,Rio,Brazil,summer,individual,"Three-way tie with Chad le Clos, Laszlo Cseh"
2016,Miles Chamley-Watson,Fencing,Team Foil Men,Bronze,,Rio,Brazil,summer,team,
2016,Race Imboden,Fencing,Team Foil Men,Bronze,,Rio,Brazil,summer,team,
2016,Alexander Massialas,Fencing,Team Foil Men,Bronze,,Rio,Brazil,summer,team,
2016,Gerek Meinhardt,Fencing,Team Foil Men,Bronze,,Rio,Brazil,summer,team,
2016,Nathan Adrian,Swimming,50m Freestyle Men,Bronze,21.49,Rio,Brazil,summer,individual,
2016,Steve Johnson,Tennis,Men's Doubles,Bronze,,Rio,Brazil,summer,team,
2016,Jack Sock,Tennis,Men's Doubles,Bronze,,Rio,Brazil,summer,team,
2016,Amanda Elmore,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Tessa Gobbo,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Elle Logan,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Meghan Musnicki,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Amanda Polk,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Emily Regan,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Lauren Schmetterling,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Kerry Simmonds,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Katelin Snyder,Rowing,Eights Women,Gold,0.004183912,Rio,Brazil,summer,team,
2016,Gevvie Stone,Rowing,Single Sculls Women,Silver,0.005126389,Rio,Brazil,summer,individual,
2016,Kelly Catlin,Cycling,Team Pursuit Women,Silver,0.002921875,Rio,Brazil,summer,team,
2016,Chloe Dygert,Cycling,Team Pursuit Women,Silver,0.002921875,Rio,Brazil,summer,team,
2016,Sarah Hammer,Cycling,Team Pursuit Women,Silver,0.002921875,Rio,Brazil,summer,team,
2016,Jennifer Valente,Cycling,Team Pursuit Women,Silver,0.002921875,Rio,Brazil,summer,team,
2016,Monica Aksamit,Fencing,Team Sabre Women,Bronze,,Rio,Brazil,summer,team,
2016,Ibtihaj Muhammad,Fencing,Team Sabre Women,Bronze,,Rio,Brazil,summer,team,
2016,Dagmara Wozniak,Fencing,Team Sabre Women,Bronze,,Rio,Brazil,summer,team,
