FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Brady,Ellison,,M,Archery,"Individual, Team","2008, 2012-S","5'11""",190,30981,Globe,Ariz.,Globe,Ariz.,Miami,Ariz. ,"Mountain Ridge High School (Glendale, Ariz) '07"
Zach,Garrett,,M,Archery,"Individual, Team",none,"5'10""",140,33335,Chula Vista,Calif.,Wellington,Mo. ,Chula Vista,Calif.,"Wellington-Napoleon High School (Wellington, Mo.) '13 "
Jake,Kaminski,,M,Archery,"Individual, Team",2012-S,"5'10""",155,30904,Buffalo,N.Y.,Gainesville,Fla. ,Bronson,Fla.,"Iroquois High School (Elma, N.Y.) '06"
Mackenzie,Brown,,F,Archery,Individual,none,"5'10""",165,33310,Tyler,Texas,Flint,Texas,Chula Vista,Calif. ,"Homeschooled (Tyler, Texas) '13"
Phillip,Chew,,M,Badminton,Doubles ,none,"5'8""",200,33008,Anaheim,Calif.,Orange,Calif.,Orange,Calif.,"University of California - Irvine '19, Business Economics"
Sattawat ,Pongnairat,,M,Badminton,Doubles,none,"5'11""",155,31539,New York,N.Y.,Orange,Calif. ,Orange,Calif. ,"Taweethapisek High School (Bangkok, Thailand)"
Howard ,Shu,,M,Badminton,Singles,none,"6'1""",165,31743,Los Alamitos,Calif.,Los Angeles,Calif. ,Anaheim,Calif.,"University of California - Los Angeles '13, Business Economics"
Eva,Lee,,F,Badminton,Doubles,2008,"5'6""",130,30169,Hong Kong,China,Diamond Bar,Calif.,Diamond Bar,Calif. ,"University of California - Irvine '13, Biological Sciences"
Paula Lynn,Obanana,,F,Badminton,Doubles,none,"5'3""",128,29663,Dumaguete City,Philippines,"Minneapolis, St. Paul",Minn.,West Covina,Calif. ,"La Salle University, Taft (Manila, Philippines) '06, Mass Media "
Jamie,Subandhi,,F,Badminton,Mixed Doubles,none,"5'4""",128,31395,Long Beach,Calif. ,Westminster,Calif.,Westminster,Calif. ,"University of California - Los Angeles '11, Physiological Science"
Iris,Wang,,F,Badminton,Singles,none,"5'3""",115,33117,Pasadena,Calif.,Arcadia,Calif.,Arcadia,Calif. ,"University of California - Los Angeles '19, Business Economics"
Carmelo,Anthony,,M,Basketball,Forward,"2004-B, 2008-G, 2012-G","6'8""",230,29369,New York,N.Y.,New York,N.Y.,New York,N.Y. ,Syracuse University
Harrison,Barnes,,M,Basketball,Forward,none,"6'8""",225,32292,Ames,Iowa,Ames,Iowa,Dallas,Texas,University of North Carolina
Jimmy,Butler,,M,Basketball,Guard,none,"6'7""",220,31303,Houston,Texas,Houston,Texas,Chicago,Ill. ,Marquette University
DeMarcus,Cousins,,M,Basketball,Center,none,"6'11""",270,31636,Mobile,Ala. ,Mobile,Ala. ,Sacramento,Calif.,University of Kentucky
DeMar,DeRozan,,M,Basketball,Guard,none,"6'7""",220,31265,Bellflower,Calif.,Compton,Calif.,Toronto,Canada,University of Southern California
Kevin,Durant,,M,Basketball,Guard,2012-G,"6'9""",230,30953,"Washington, D.C. ",-,"Washington, D.C. ",-,Oakland,Calif.,University of Texas
Paul,George,,M,Basketball,Guard,none,"6'9""",220,31533,Palmdale,Calif. ,Palmdale,Calif.,Indianapolis,Ind.,Fresno State University
Draymond,Green,,M,Basketball,Forward,none,"6'7""",230,31474,Saginaw,Mich.,Saginaw,Mich.,Oakland,Calif.,Michigan State University
Kyrie,Irving,,M,Basketball,Guard,none,"6'3""",193,32224,Kew,Australia,West Orange,N.J.,Cleveland,Ohio,Duke University
DeAndre,Jordan,,M,Basketball,Center,none,"6'11""",265,30883,Houston,Texas,Houston,Texas,Los Angeles,Calif.,Texas A&M University
Kyle,Lowry,,M,Basketball,Guard,none,"6'0""",250,30034,Philadelphia,Pa. ,Philadelphia,Pa.,Toronto,Canada,Villanova Univeristy 
